Question,Option A,Option B,Option C,Option D,Correct Answer,,
What helps you chew food?,Lips,Eyes,Teeth,Nose,Teeth,,
What is the color of the ocean?,Red,Blue,Green,Yellow,Blue,,
Which country has a maple leaf on its flag?,USA,UK,Canada,Australia,Canada,,
Which insect glows in the dark?,Ant,Fly,Firefly,Beetle,Firefly,,
What is the name of the red planet?,Venus,Earth,Jupiter,Mars,Mars,,
How many days in a week?,5,6,7,8,7,,
What do you call a baby cat?,Pup,Cub,Kitten,Chick,Kitten,,
Which part of the body helps you see?,Nose,Legs,Eyes,Ears,Eyes,,
What do plants need to grow?,Soil,Light,Water,All of them,All of them,,
What do you wear to keep dry in rain?,Coat,Shirt,Cap,Raincoat,Raincoat,,
What is the largest mammal?,Elephant,Blue Whale,Hippo,Giraffe,Blue Whale,,
What do we use to eat soup?,Fork,Knife,Spoon,Straw,Spoon,,
Which part of the body has fingers?,Leg,Hand,Head,Foot,Hand,,
What do you wear on your head?,Gloves,Shirt,Hat,Shoes,Hat,,
What’s the opposite of 'Day'?,Night,Light,Sun,Dawn,Night,,
Which fruit is orange in color?,Apple,Orange,Banana,Mango,Orange,,
What do you use to clean your teeth?,Comb,Brush,Toothbrush,Sponge,Toothbrush,,
What flies in the sky?,Dog,Car,Bird,Cow,Bird,,
Which animal is king of the jungle?,Elephant,Tiger,Lion,Leopard,Lion,,
What do we breathe?,Water,Smoke,Oxygen,Dust,Oxygen,,
What is 5+5?,8,9,10,11,10,,
Which sport uses a bat?,Soccer,Basketball,Cricket,Boxing,Cricket,,
What is 20 divided by 4?,4,5,6,7,5,,
How many legs does a spider have?,6,8,10,12,8,,
Which animal can fly?,Dog,Fish,Bird,Lion,Bird,,
What do we use to open a door?,Hammer,Key,Scissors,Stick,Key,,
Which holiday involves gifts and a tree?,Eid,Christmas,Halloween,Thanksgiving,Christmas,,
Which is a dairy product?,Apple,Butter,Bread,Rice,Butter,,
What month comes after June?,April,May,July,August,July,,
What is frozen rain called?,Snow,Hail,Fog,Mist,Hail,,
What do you drink hot with biscuits?,Juice,Tea,Milk,Soda,Tea,,
Which animal lives in a shell?,Cat,Dog,Snail,Rabbit,Snail,,
What is 12 x 12?,144,122,132,124,144,,
What type of animal is a frog?,Bird,Reptile,Amphibian,Insect,Amphibian,,
What do you do with a ball?,Eat,Throw,Draw,Read,Throw,,
Which planet is called the gas giant?,Earth,Mercury,Jupiter,Mars,Jupiter,,
What do astronauts travel in?,Submarine,Rocket,Plane,Car,Rocket,,
What is 100 divided by 10?,5,8,10,20,10,,
Which country has the pyramids?,India,Italy,Peru,Egypt,Egypt,,
Which animal has a trunk?,Cow,Elephant,Buffalo,Horse,Elephant,,
Which is used in computers?,Chalk,Ink,Mouse,Paper,Mouse,,
What do you wear to swim?,T-shirt,Suit,Shorts,Swimsuit,Swimsuit,,
Which is a type of weather?,Cloudy,Bright,Dark,Light,Cloudy,,
What do bees make?,Jam,Milk,Nectar,Honey,Honey,,
What is the name of the process by which plants make food?,Digestion,Respiration,Photosynthesis,Filtration,Photosynthesis,,
Which metal is liquid at room temperature?,Gold,Iron,Lead,Mercury,Mercury,,
Who painted the Mona Lisa?,Picasso,Da Vinci,Van Gogh,Michelangelo,Da Vinci,,
Which part of the body contains the brain?,Chest,Stomach,Head,Neck,Head,,
What do you call a person who studies stars?,Botanist,Historian,Astronomer,Biologist,Astronomer,,
What is the capital city of France?,Berlin,Rome,Paris,Madrid,Paris,,
Which gas do we need to breathe?,Hydrogen,Oxygen,Carbon dioxide,Nitrogen,Oxygen,,
What is the boiling point of water in Celsius?,50,90,100,120,100,,
Who invented the light bulb?,Tesla,Edison,Newton,Einstein,Edison,,
Which animal is the largest reptile?,Lizard,Turtle,Crocodile,Snake,Crocodile,,
What do we call the colored part of the eye?,Lens,Cornea,Pupil,Iris,Iris,,
Which famous ship sank in 1912?,Olympic,Titanic,Britannic,Endeavour,Titanic,,
What is the smallest bone in the human body?,Femur,Stapes,Ulna,Patella,Stapes,,
Which organ pumps blood?,Lungs,Heart,Liver,Stomach,Heart,,
What is the name of Harry Potter’s owl?,Crookshanks,Fawkes,Hedwig,Scabbers,Hedwig,,
Which planet has rings?,Venus,Mars,Saturn,Jupiter,Saturn,,
What does 'www' stand for?,World Wide Web,Web Wide World,Wide Web World,World Web Window,World Wide Web,,
What is the currency of Japan?,Won,Yuan,Euro,Yen,Yen,,
What is the study of maps called?,Geology,Geometry,Cartography,Botany,Cartography,,
Which country is known for tulips and windmills?,Switzerland,Italy,Netherlands,Austria,Netherlands,,
How many continents are there?,5,6,7,8,7,,
Which blood type is universal donor?,A+,O-,AB+,B+,O-,,
What do you call molten rock from a volcano?,Magma,Lava,Fire,Coal,Lava,,
Which country invented paper?,Greece,Rome,China,Egypt,China,,
What is the freezing point of water?,0°C,10°C,32°C,100°C,0°C,,
Which natural satellite orbits the Earth?,Mars,Pluto,Moon,Sun,Moon,,
What is the name of the largest ocean?,Atlantic,Arctic,Indian,Pacific,Pacific,,
Which muscle is responsible for breathing?,Diaphragm,Biceps,Heart,Triceps,Diaphragm,,
"Who wrote ""Hamlet""?",Dickens,Hemingway,Shakespeare,Tolkien,Shakespeare,,
What organ helps in digestion and detox?,Kidney,Stomach,Pancreas,Liver,Liver,,
What part of the cell holds genetic material?,Mitochondria,Nucleus,Membrane,Ribosome,Nucleus,,
Which instrument is used to measure time?,Thermometer,Clock,Compass,Scale,Clock,,
Which is the longest river in the world?,Amazon,Nile,Danube,Mississippi,Nile,,
What is the capital of Kenya?,Kampala,Accra,Nairobi,Dakar,Nairobi,,
Which invention is used to see distant objects?,Binoculars,Microscope,Telescope,Magnifying Glass,Telescope,,
What’s the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Vacuole,Mitochondria,,
Which vitamin do we get from sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D,,
What’s the fastest land animal?,Horse,Lion,Cheetah,Leopard,Cheetah,,
Which part of a plant makes seeds?,Stem,Leaf,Root,Flower,Flower,,
Who discovered gravity?,Einstein,Galileo,Newton,Faraday,,,
"Who directed the film ""The Yacoubian Building""?",Marwan Hamed,Khaled Youssef,Daoud Abdel Sayed,Amr Salama,Marwan Hamed,,
"Which Egyptian actor starred in ""Ibrahim Labyad""?",Ahmed Ezz,Ahmed El Sakka,Karim Abdel Aziz,Amr Waked,Ahmed El Sakka,,
"Who played the role of ""El Lemby""?",Mohamed Henedy,Ahmed Mekky,Mohamed Saad,Ramy Imam,Mohamed Saad,,
"Which actress starred in ""Heena Maysara""?",Menna Shalaby,Ghada Adel,Hanan Turk,Somaya El Khashab,Somaya El Khashab,,
"What genre is the film ""Tito""?",Drama,Romance,Action,Comedy,Action,,
"Who played the lead role in ""Zaky Chan""?",Mohamed Saad,Ahmed Helmy,Karim Abdel Aziz,Ahmed Eid,Ahmed Helmy,,
Which movie featured Adel Imam as a university professor?,The Terrorist,The Embassy in the Building,The Yacoubian Building,Ma'ali Al Wazir,The Yacoubian Building,,
"What is the English name of the film ""Asmaa""?",Her Name,Asmaa,A Woman's Story,The Truth,Asmaa,,
"Which Egyptian director is known for ""Yomeddine""?",Abu Bakr Shawky,Tamer Mohsen,Yousry Nasrallah,Khaled Marei,Abu Bakr Shawky,,
"Who starred in ""Omar & Salma"" alongside Tamer Hosny?",Yasmine Abdel Aziz,Ghada Adel,Hanan Turk,May Ezz ElDin,May Ezz ElDin,,
"Who directed ""Excuse My French""?",Marwan Hamed,Amr Salama,Khaled Youssef,Ali Idris,Amr Salama,,
"Which actor appeared in ""The Blue Elephant""?",Ahmed Ezz,Khaled El Nabawy,Karim Abdel Aziz,Maged El Kedwany,Karim Abdel Aziz,,
"What is the sequel to ""The Blue Elephant"" called?",The Blue Elephant 2,Elephant Returns,Blue Mind,The Blue Curse,The Blue Elephant 2,,
"Who played ""Ahmed Galal"" in ""The Blue Elephant""?",Ahmed Helmy,Karim Abdel Aziz,Mohamed Mamdouh,Khaled El Sawy,Karim Abdel Aziz,,
"Which actress starred in ""678""?",Yasmine Raeis,Nelly Karim,Bushra,Hend Sabry,Bushra,,
Which film discusses sexual harassment in Egypt?,678,The Island,The Yacoubian Building,Heena Maysara,678,,
"Who directed ""678""?",Mohamed Diab,Amr Salama,Marwan Hamed,Tamer Mohsen,Mohamed Diab,,
"What is the main theme of the movie ""678""?",Corruption,Crime,Sexual Harassment,Politics,Sexual Harassment,,
"Who played a magician in ""Keda Reda""?",Ahmed Mekky,Ahmed Helmy,Karim Abdel Aziz,Mohamed Henedy,Ahmed Helmy,,
In which film does Ahmed Mekky play multiple roles?,Teer Enta,Lahfa,Keda Reda,El Kebeer Awi,Keda Reda,,
"What genre is the movie ""Teer Enta""?",Thriller,Romantic,Fantasy Comedy,Horror,Fantasy Comedy,,
"Who played the role of the psychiatrist in ""The Blue Elephant""?",Karim Abdel Aziz,Maged El Kedwany,Khaled El Sawy,Ahmed Fahmy,Karim Abdel Aziz,,
"Who directed the movie ""The Island""?",Sherif Arafa,Khaled Youssef,Ali Idris,Marwan Hamed,Sherif Arafa,,
"Which actor played ""Mansour El Hefny"" in ""The Island""?",Ahmed El Sakka,Karim Abdel Aziz,Amr Waked,Khaled Saleh,Ahmed El Sakka,,
"What year was the first part of ""The Island"" released?",2004,2005,2007,2008,2007,,
"Who starred in ""Sheikh Jackson""?",Ahmed Malek,Ahmed El Sakka,Ahmed El Fishawy,Ahmed Helmy,Ahmed El Fishawy,,
Which Egyptian film was submitted for the Oscars in 2017?,Clash,Sheikh Jackson,Yomeddine,678,Sheikh Jackson,,
"Who directed ""Clash"" (Eshtebak)?",Mohamed Diab,Amr Salama,Tamer Mohsen,Yousry Nasrallah,Mohamed Diab,,
"What is the setting of the movie ""Clash""?",School,Taxi,Police Truck,Bus,Police Truck,,
"Who is the actress in ""Villa 69""?",Nelly Karim,Hend Sabry,Arwa Gouda,Laila Elwi,Arwa Gouda,,
Which movie is about a man with leprosy?,Yomeddine,Asmaa,678,Clash,Yomeddine,,
"Which actor plays a child’s imaginary friend in ""Teer Enta""?",Ahmed Mekky,Mohamed Henedy,Ahmed Helmy,Ramy Youssef,Ahmed Mekky,,
"What is the theme of ""Hepta: The Last Lecture""?",Crime,Love,Science Fiction,Politics,Love,,
"Which actress starred in ""Hepta""?",Hend Sabry,Nelly Karim,Yasmine Raeis,Dorra,Yasmine Raeis,,
"Who played the lawyer in ""The Yacoubian Building""?",Khaled El Sawy,Ahmed Rateb,Omar Sharif,Adel Imam,Omar Sharif,,
"Which actor starred in the romantic film ""You Fly"" (Teer Enta)?",Ahmed Mekky,Ahmed Helmy,Mohamed Saad,Maged El Kedwany,Ahmed Mekky,,
What is the name of Adel Imam’s 1992 film about terrorism?,Terrorism and Kebab,The Terrorist,Al Irhabi,Al Mohager,Al Irhabi,,
"Which actor played in both ""The Island"" and ""The Blue Elephant""?",Ahmed El Sakka,Karim Abdel Aziz,Khaled El Sawy,Maged El Kedwany,Karim Abdel Aziz,,
Which movie is based on a novel by Alaa Al Aswany?,678,The Yacoubian Building,Clash,Yomeddine,The Yacoubian Building,,
"Which actress starred in ""Banat West El Balad""?",Ghada Adel,Menna Shalaby,Hanan Turk,Hend Sabry,Hend Sabry,,
"Who directed the film ""Hepta""?",Hadi El Bagoury,Tamer Mohsen,Khaled Marei,Marwan Hamed,Hadi El Bagoury,,
What is the name of the film where Ahmed Helmy switches lives with a rich man?,X-Large,Keda Reda,El Nazer,El Selem Wel Te'ban,Keda Reda,,
Which movie features a teacher in a Christian school?,Excuse My French,Sheikh Jackson,Asmaa,678,Excuse My French,,
"What is the main theme of ""Asmaa""?",Cancer,HIV,Harassment,Divorce,HIV,,
Which Egyptian film features a character with AIDS?,678,Clash,Asmaa,Yomeddine,Asmaa,,
"Who played the female lead in ""Asmaa""?",Hend Sabry,Nelly Karim,Bushra,Menna Shalaby,Hend Sabry,,
What was Amr Waked’s international debut film?,Syriana,Lions for Lambs,Lucy,Ramadan Mabrouk,Syriana,,
Which film features a romantic triangle involving Mona Zaki?,Sahar El Layaly,Halet Hob,Afrah ElQobba,Leabet El Hob,Sahar El Layaly,,
"Who played the lead in the movie ""Afrah ElQobba""?",Maged El Kedwany,Ahmed El Fishawy,Asser Yassin,Karim Abdel Aziz,Asser Yassin,,
"Which actress starred in ""Ehky Ya Scheherazade""?",Ghada Adel,Menna Shalaby,Mona Zaki,Yasmine Abdel Aziz,Mona Zaki,,
"What is the main issue discussed in ""Ehky Ya Scheherazade""?",Marriage,Politics,Women's Rights,Education,Women's Rights,,
"Which actor is famous for ""El Nazer""?",Mohamed Henedy,Alaa Waley El Din,Ahmed Helmy,Ahmed Eid,Alaa Waley El Din,,
"Who directed ""El Nazer""?",Sherif Arafa,Wael Ehsan,Osama Fawzy,Sharif Arafa,Sherif Arafa,,
"What is the main theme of the movie ""X-Large""?",Weight Loss,Crime,Revenge,Politics,Weight Loss,,
"Who played the lead in ""X-Large""?",Ahmed Helmy,Karim Abdel Aziz,Mohamed Saad,Ramy Youssef,Ahmed Helmy,,
Which movie is about youth addiction and social problems?,Heena Maysara,El Gezira,Welad Rizk,45 Days,Heena Maysara,,
"Who starred in ""45 Days""?",Ahmed El Fishawy,Karim Kassem,Tarek Lotfy,Khaled Abol Naga,Ahmed El Fishawy,,
Which movie shows a friendship between a boy and a donkey?,Yomeddine,Asmaa,678,Clash,Yomeddine,,
Which film is inspired by the 25 January revolution?,Clash,Yomeddine,678,The Island 2,Clash,,
"Who played the role of Youssef El Sherif in ""The Spiritual World""?",Ahmed El Sakka,Karim Abdel Aziz,Youssef El Sherif,Mohamed Ramadan,Youssef El Sherif,,
Which film involves a psychic and mysterious murders?,The Blue Elephant,Asmaa,Hepta,Welad Rizk,The Blue Elephant,,
"Who is the star of ""Welad Rizk""?",Ahmed Ezz,Mohamed Ramadan,Ahmed El Sakka,Amr Youssef,Ahmed Ezz,,
Which movie features a heist by a group of brothers?,Welad Rizk,El Gezira,45 Days,X-Large,Welad Rizk,,
"What is the genre of ""Welad Rizk""?",Horror,Drama,Comedy,Crime,Crime,,
"Who directed ""Welad Rizk""?",Tarek El Eryan,Marwan Hamed,Amr Arafa,Khaled Marei,Tarek El Eryan,,
"Which actor starred in ""El Harb El A’la El Terror""?",Adel Imam,Mohamed Henedy,Khaled El Sawy,Mohamed Ramadan,Adel Imam,,
"What role did Ahmed Zaki play in ""Nasser 56""?",Sadat,Nasser,Naguib,Mubarak,Nasser,,
Which biopic starred Ahmed Zaki as an Egyptian president?,The Days,Nasser 56,The Emigrant,The Street Player,Nasser 56,,
"What is the English title of ""Al-irhabi""?",The Immigrant,The Terrorist,The Stranger,The Fugitive,The Terrorist,,
"What year did ""Al-irhabi"" release?",1992,1994,1995,1998,1994,,
"Which actress co-starred in ""Al-irhabi"" with Adel Imam?",Laila Elwi,Youssra,Mervat Amin,Shereen,Mervat Amin,,
Which film shows a group of youth in a bus accident?,Microphone,Cairo Exit,678,Farsh w Ghata,Farsh w Ghata,,
"What’s the main theme of ""Cairo Exit""?",Love,Escape,Poverty,Rebellion,Escape,,
"Who starred in ""Cairo Exit""?",Amr Saad,Ahmed Malek,Mohamed Ramadan,Karim Kassem,Mohamed Ramadan,,
"Who played ""Reda"" in ""Keda Reda""?",Mohamed Henedy,Ahmed Helmy,Karim Abdel Aziz,Ahmed El Sakka,Ahmed Helmy,,
"Which actress appeared in ""Teer Enta""?",Menna Shalaby,Dorra,Hana Shiha,Donia Samir Ghanem,Donia Samir Ghanem,,
Which film featured a battle between humans and genies?,The Blue Elephant,El Feel Azraq,Teer Enta,El Asliyeen,El Feel Azraq,,
Which movie tells the story of an underground music scene?,Microphone,678,Clash,Yomeddine,Microphone,,
"Who starred in ""Microphone""?",Khaled Abol Naga,Ahmed El Sakka,Amr Waked,Youssef El Sherif,Khaled Abol Naga,,
Which movie is based on a play by Tawfiq El Hakim?,The Sultan’s Dilemma,The Return of the Spirit,The Other Shore,Day of Judgment,The Return of the Spirit,,
"Which actor played in ""Al Kit Kat""?",Farid Shawqi,Yehia El Fakharany,Mahmoud Abdel Aziz,Ahmed Zaki,Mahmoud Abdel Aziz,,
"Who played a blind man in ""Al Kit Kat""?",Ahmed Helmy,Khaled El Sawy,Mahmoud Abdel Aziz,Mohamed Henedy,Mahmoud Abdel Aziz,,
"What is the genre of ""Al Kit Kat""?",Comedy,Drama,Thriller,Horror,Drama,,
"Which film includes the phrase ""Aywa ana Baba Yalla""?",Teer Enta,El Nazer,Keda Reda,Zaky Chan,Zaky Chan,,
"Who played the teacher in ""El Nazer""?",Mohamed Henedy,Ahmed Helmy,Alaa Waley El Din,Mohamed Saad,Alaa Waley El Din,,
Which actor is known for both drama and comedy?,Ahmed Helmy,Ahmed Mekky,Khaled Saleh,All of them,All of them,,
Which film involves a police officer and drug mafia?,El Gezira,Welad Rizk,Clash,45 Days,El Gezira,,
"Who starred as a drug lord in ""El Gezira""?",Amr Waked,Khaled El Sawy,Ahmed El Sakka,Karim Abdel Aziz,Ahmed El Sakka,,
"Who is the director of ""El Gezira""?",Sherif Arafa,Khaled Youssef,Marwan Hamed,Tarek El Eryan,Sherif Arafa,,
"What’s the name of the sequel to ""El Gezira""?",El Gezira 2,Return to the Island,Island Again,El Gezira: The End,El Gezira 2,,
"What is the main genre of ""El Gezira""?",Action,Romantic,Satire,Drama,Action,,
